quote_id,snapshot_time,first_name,last_name,state,gender,zip_cd,quote_type,existing_customer,sales_channel,vehicle_size,offer_applied,quote_ammount,dataset_date
571855,2023-02-13 09:18:49,Matt,Banner,South Carolina,M,57119,Non-Auto,Y,SUV,Medsize,Y,245,2023-02-13 09:18:49
916171,2023-02-13 09:18:49,April,Johnson,New Hampshire,M,51567,Non-Auto,Y,SUV,Small,N,879,2023-02-13 09:18:49
304980,2023-02-13 09:18:49,April,Wayne,Idaho,M,72808,Non-Auto,Y,SUV,Large,Y,167,2023-02-13 09:18:49
132927,2023-02-13 09:18:49,Kelly,Carter,Wyoming,M,23250,Non-Auto,Y,Two-Door Car,Medsize,N,731,2023-02-13 09:18:49
353104,2023-02-13 09:18:49,Chris,Trent,Connecticut,M,40549,Auto,N,Two-Door Car,Large,Y,488,2023-02-13 09:18:49
975586,2023-02-13 09:18:49,Tim,Hill,Connecticut,M,11827,Auto,Y,Four-Door Car,Large,N,457,2023-02-13 09:18:49
328097,2023-02-13 09:18:49,Tim,Williams,Delaware,F,37361,Non-Auto,N,Four-Door Car,Small,Y,308,2023-02-13 09:18:49
704676,2023-02-13 09:18:49,Cassie,Trent,Nebraska,F,69528,Auto,N,SUV,Large,Y,229,2023-02-13 09:18:49
722152,2023-02-13 09:18:49,Betty,Banner,Pennsylvania,F,81309,Auto,N,Two-Door Car,Small,N,891,2023-02-13 09:18:49
232876,2023-02-13 09:18:49,May,James,Wyoming,F,11873,Auto,N,Four-Door Car,Small,N,544,2023-02-13 09:18:49
764511,2023-02-13 09:18:49,Chris,Edwards,Oklahoma,M,74267,Non-Auto,N,SUV,Large,Y,798,2023-02-13 09:18:49
323396,2023-02-13 09:18:49,Chris,James,Oklahoma,M,63106,Auto,N,Two-Door Car,Large,Y,905,2023-02-13 09:18:49
165218,2023-02-13 09:18:49,Matt,Trent,Oklahoma,F,79749,Non-Auto,Y,Two-Door Car,Small,N,574,2023-02-13 09:18:49
806145,2023-02-13 09:18:49,Chris,Edwards,Oklahoma,M,87692,Non-Auto,Y,Two-Door Car,Small,N,405,2023-02-13 09:18:49
841029,2023-02-13 09:18:49,May,James,New Hampshire,F,91955,Non-Auto,N,SUV,Medsize,N,634,2023-02-13 09:18:49
547531,2023-02-13 09:18:49,Betty,Lee,Oklahoma,F,53377,Auto,Y,SUV,Small,N,653,2023-02-13 09:18:49
368494,2023-02-13 09:18:49,Chris,Johnson,Minnesota,M,68535,Non-Auto,N,SUV,Medsize,Y,848,2023-02-13 09:18:49
776303,2023-02-13 09:18:49,Tom,Trent,Iowa,F,26635,Non-Auto,Y,Two-Door Car,Large,N,954,2023-02-13 09:18:49
313946,2023-02-13 09:18:49,Clark,Hall,Virgina,F,19022,Auto,N,SUV,Small,N,864,2023-02-13 09:18:49
619321,2023-02-13 09:18:49,April,Carter,Ohio,M,41457,Non-Auto,Y,Four-Door Car,Large,N,563,2023-02-13 09:18:49
197617,2023-02-13 09:18:49,Tom,Carter,Tennessee,M,32636,Auto,Y,Two-Door Car,Small,Y,783,2023-02-13 09:18:49
741558,2023-02-13 09:18:49,April,Lee,New York,F,17224,Auto,N,Two-Door Car,Medsize,N,424,2023-02-13 09:18:49
422181,2023-02-13 09:18:49,Chris,Parker,Wyoming,F,39467,Auto,N,Four-Door Car,Large,Y,919,2023-02-13 09:18:49
