quote_id,snapshot_time,first_name,last_name,state,gender,zip_cd,quote_type,existing_customer,sales_channel,vehicle_size,offer_applied,quote_ammount,dataset_date
415024,<generator object random_date at 0x00000204FC563C40>,Chris,Banner,New Hampshire,F,87883,Auto,Y,Two-Door Car,Large,N,869,<generator object random_date at 0x00000204FC563C40>
255839,<generator object random_date at 0x00000204FC563940>,Chris,Carter,Nevada,F,54851,Auto,N,Two-Door Car,Small,Y,627,<generator object random_date at 0x00000204FC563940>
213305,<generator object random_date at 0x00000204FC60C040>,May,Powers,Pennsylvania,F,62732,Auto,N,Four-Door Car,Small,Y,609,<generator object random_date at 0x00000204FC60C040>
743104,<generator object random_date at 0x00000204FC60C140>,Betty,James,Hawaii,M,20021,Non-Auto,N,SUV,Small,N,386,<generator object random_date at 0x00000204FC60C140>
155526,<generator object random_date at 0x00000204FC60C240>,Tim,Hall,North Carolina,M,99924,Non-Auto,Y,Two-Door Car,Medsize,N,409,<generator object random_date at 0x00000204FC60C240>
291717,<generator object random_date at 0x00000204FC60C340>,Chris,Wayne,Pennsylvania,F,52625,Auto,Y,SUV,Medsize,N,534,<generator object random_date at 0x00000204FC60C340>
249362,<generator object random_date at 0x00000204FC60C440>,Bruce,Hall,Oregon,M,49238,Auto,N,SUV,Large,N,218,<generator object random_date at 0x00000204FC60C440>
166190,<generator object random_date at 0x00000204FC60C540>,Kelly,Banner,New Mexico,M,43479,Non-Auto,N,Four-Door Car,Large,Y,608,<generator object random_date at 0x00000204FC60C540>
207623,<generator object random_date at 0x00000204FC60C640>,May,Banner,Idaho,M,39898,Auto,Y,SUV,Medsize,N,355,<generator object random_date at 0x00000204FC60C640>
101162,<generator object random_date at 0x00000204FC60C740>,April,Jackson,New York,M,83737,Non-Auto,Y,Four-Door Car,Large,Y,528,<generator object random_date at 0x00000204FC60C740>
238507,<generator object random_date at 0x00000204FC60C840>,Finn,Trent,New Hampshire,M,92970,Non-Auto,N,Two-Door Car,Large,Y,443,<generator object random_date at 0x00000204FC60C840>
776988,<generator object random_date at 0x00000204FC60C940>,Chris,Williams,Illinois,F,10085,Auto,N,Four-Door Car,Large,N,889,<generator object random_date at 0x00000204FC60C940>
744097,<generator object random_date at 0x00000204FC60CA40>,Betty,Wayne,Delaware,M,95529,Auto,Y,SUV,Medsize,Y,446,<generator object random_date at 0x00000204FC60CA40>
669299,<generator object random_date at 0x00000204FC60CB40>,Finn,Cole,Nebraska,M,85758,Auto,Y,SUV,Large,Y,774,<generator object random_date at 0x00000204FC60CB40>
