quote_id,snapshot_time,first_name,last_name,state,gender,zip_cd,quote_type,existing_customer,sales_channel,vehicle_size,offer_applied,quote_ammount,dataset_date
348294,"(datetime.datetime(2023, 2, 4, 0, 0), 10, None, 22)",Tim,Edwards,Delaware,F,10779,Auto,N,SUV,Medsize,Y,435,"(datetime.datetime(2023, 2, 4, 0, 0), 10, None, 22)"
260363,"(datetime.datetime(2023, 2, 8, 0, 0), 6, None, 6)",Clark,Jackson,Wisconsin,M,16168,Non-Auto,N,Two-Door Car,Medsize,N,510,"(datetime.datetime(2023, 2, 8, 0, 0), 6, None, 6)"
304229,"(datetime.datetime(2023, 2, 3, 0, 0), 6, None, 3)",Sarah,Kent,Mississippi,M,39028,Non-Auto,Y,Four-Door Car,Medsize,Y,793,"(datetime.datetime(2023, 2, 3, 0, 0), 6, None, 3)"
687825,"(datetime.datetime(2023, 2, 16, 0, 0), 3, None, 4)",Tim,Cole,Ohio,F,45431,Non-Auto,N,Four-Door Car,Medsize,Y,297,"(datetime.datetime(2023, 2, 16, 0, 0), 3, None, 4)"
313079,"(datetime.datetime(2023, 2, 10, 0, 0), 6, None, 1)",Clark,Johnson,Illinois,F,97786,Auto,N,Two-Door Car,Medsize,Y,557,"(datetime.datetime(2023, 2, 10, 0, 0), 6, None, 1)"
238264,"(datetime.datetime(2023, 2, 1, 0, 0), 2, None, 58)",Cassie,Kent,Louisiana,F,86157,Auto,Y,Two-Door Car,Medsize,Y,233,"(datetime.datetime(2023, 2, 1, 0, 0), 2, None, 58)"
152259,"(datetime.datetime(2023, 2, 1, 0, 0), 1, None, 19)",Tom,Jackson,California,F,37866,Non-Auto,N,Four-Door Car,Large,N,696,"(datetime.datetime(2023, 2, 1, 0, 0), 1, None, 19)"
293737,"(datetime.datetime(2023, 2, 13, 0, 0), 1, None, 17)",Tim,Matthew,Utah,M,51006,Auto,N,Two-Door Car,Large,N,578,"(datetime.datetime(2023, 2, 13, 0, 0), 1, None, 17)"
543980,"(datetime.datetime(2023, 2, 11, 0, 0), 7, None, 4)",Cassie,Jackson,Mississippi,F,14223,Non-Auto,Y,Two-Door Car,Medsize,Y,151,"(datetime.datetime(2023, 2, 11, 0, 0), 7, None, 4)"
371165,"(datetime.datetime(2023, 2, 12, 0, 0), 12, None, 25)",Tom,Banner,Wyoming,F,98621,Auto,Y,Two-Door Car,Medsize,Y,583,"(datetime.datetime(2023, 2, 12, 0, 0), 12, None, 25)"
